Graph Edges,Paths
1-2-12.822051060765718; 1-3-3.6131413594759554; 2-3-10.356303894114967; 2-4-9.546900023316226; 3-4-8.877241093980473; 3-5-8.245389151650581; 4-5-1.046253042352187,"(11.858530511126537, [1, 3, 5]); (13.536635495808616, [1, 3, 4, 5]); (23.41520412643413, [1, 2, 4, 5]); (33.101849091213346, [1, 2, 3, 4, 5])"
1-2-11.589486218300237; 1-3-12.069067390959844; 2-3-14.871064263722696; 2-4-12.914305371100353; 3-4-14.469253000375758; 3-5-9.570413195345875; 4-5-13.710420646355852,"(21.63948058630572, [1, 3, 5]); (36.0309636773688, [1, 2, 3, 5]); (38.21421223575644, [1, 2, 4, 5]); (54.64022412875454, [1, 2, 3, 4, 5])"
1-2-9.368400306799831; 1-3-12.306135310012975; 2-3-9.212053925685805; 2-4-9.429749467906928; 3-4-5.761137678006617; 3-5-7.64055375256772; 4-5-5.401943322314789,"(19.946689062580695, [1, 3, 5]); (23.46921631033438, [1, 3, 4, 5]); (24.200093097021547, [1, 2, 4, 5]); (29.74353523280704, [1, 2, 3, 4, 5])"
1-2-3.725428849027378; 1-3-2.747374710341793; 2-3-12.229844058853155; 2-4-12.03867722308329; 3-4-4.198249500494786; 3-5-3.374473117052399; 4-5-8.569789601656499,"(6.121847827394192, [1, 3, 5]); (15.515413812493078, [1, 3, 4, 5]); (19.329746024932934, [1, 2, 3, 5]); (28.72331201003182, [1, 2, 3, 4, 5])"
1-2-7.41108987637902; 1-3-1.133629661693608; 2-3-6.796976919613397; 2-4-7.276598271249928; 3-4-1.16289748490674; 3-5-14.32054852218758; 4-5-8.29950908103661,"(10.596036227636958, [1, 3, 4, 5]); (15.454178183881188, [1, 3, 5]); (22.987197228665558, [1, 2, 4, 5]); (23.670473361935766, [1, 2, 3, 4, 5])"
1-2-10.075807180122819; 1-3-8.22069607050988; 2-3-7.022526567605916; 2-4-6.443122256950874; 3-4-13.810111073498884; 3-5-10.747666532103691; 4-5-7.12245131849134,"(18.968362602613574, [1, 3, 5]); (23.641380755565034, [1, 2, 4, 5]); (38.03089613971896, [1, 2, 3, 4, 5])"
1-2-2.1176281429522317; 1-3-10.717774955918664; 2-3-8.69043018115721; 2-4-8.602583847264; 3-4-6.941824322955105; 3-5-2.368356378100696; 4-5-14.630117051251826,"(13.08613133401936, [1, 3, 5]); (13.176414702210137, [1, 2, 3, 5]); (25.350329041468058, [1, 2, 4, 5]); (32.37999969831637, [1, 2, 3, 4, 5])"
1-2-10.120145815406016; 1-3-3.05996937141378; 2-3-12.702563056346916; 2-4-7.906816102609674; 3-4-12.535728741607828; 3-5-7.585665180302937; 4-5-12.753602326156457,"(10.645634551716716, [1, 3, 5]); (28.349300439178066, [1, 3, 4, 5]); (30.408374052055866, [1, 2, 3, 5]); (48.11203993951722, [1, 2, 3, 4, 5])"
1-2-6.638899466715191; 1-3-1.811878834752024; 2-3-5.587074946671094; 2-4-1.2148374997433231; 3-4-7.400524317412438; 3-5-8.624580357310965; 4-5-6.162835676191618,"(10.436459192062989, [1, 3, 5]); (14.016572642650132, [1, 2, 4, 5]); (25.789334406990342, [1, 2, 3, 4, 5])"
1-2-5.110616999847431; 1-3-2.7362132675095125; 2-3-5.592444550428486; 2-4-8.161764037983387; 3-4-5.695328768467761; 3-5-5.4462493437286; 4-5-8.481512480548025,"(8.182462611238112, [1, 3, 5]); (16.14931089400452, [1, 2, 3, 5]); (16.9130545165253, [1, 3, 4, 5]); (24.879902799291706, [1, 2, 3, 4, 5])"
1-2-4.350832080476048; 1-3-9.873662127270265; 2-3-7.180608497642558; 2-4-5.511150974518998; 3-4-7.419421821910818; 3-5-4.407536613246958; 4-5-12.62626366365543,"(14.281198740517222, [1, 3, 5]); (15.938977191365563, [1, 2, 3, 5]); (22.488246718650476, [1, 2, 4, 5]); (31.57712606368485, [1, 2, 3, 4, 5])"
1-2-2.1468765552478706; 1-3-2.249309885259029; 2-3-12.681204211527657; 2-4-1.322605169806251; 3-4-10.726592630890705; 3-5-7.506530943713829; 4-5-4.400032901799868,"(7.86951462685399, [1, 2, 4, 5]); (9.755840828972858, [1, 3, 5]); (29.954706299466103, [1, 2, 3, 4, 5])"
1-2-7.274906798544269; 1-3-4.410038395049376; 2-3-13.775913046531787; 2-4-7.884085454597237; 3-4-9.18958945812264; 3-5-9.739678371125969; 4-5-13.60700581563999,"(14.149716766175345, [1, 3, 5]); (27.206633668812007, [1, 3, 4, 5]); (28.765998068781496, [1, 2, 4, 5]); (43.84741511883868, [1, 2, 3, 4, 5])"
1-2-10.227857414732776; 1-3-5.024446757258147; 2-3-3.8627414188381657; 2-4-14.495802251778125; 3-4-2.2247234553360755; 3-5-4.276879546727226; 4-5-8.733667371582897,"(9.301326303985373, [1, 3, 5]); (15.982837584177119, [1, 3, 4, 5]); (18.367478380298166, [1, 2, 3, 5]); (25.048989660489916, [1, 2, 3, 4, 5])"
1-2-7.114700049723732; 1-3-11.59988042450109; 2-3-1.775835108424913; 2-4-13.790224281873; 3-4-8.363942730172084; 3-5-10.864510282920456; 4-5-11.840083651180972,"(19.7550454410691, [1, 2, 3, 5]); (22.464390707421543, [1, 3, 5]); (29.0945615395017, [1, 2, 3, 4, 5]); (31.803906805854144, [1, 3, 4, 5])"
1-2-9.526036573104905; 1-3-4.760102650057269; 2-3-1.5571519842241657; 2-4-1.6106965615937985; 3-4-1.3768383607232069; 3-5-13.423928087953437; 4-5-1.42961493877407,"(7.566555949554546, [1, 3, 4, 5]); (12.566348073472774, [1, 2, 4, 5]); (13.889641856826348, [1, 2, 3, 4, 5]); (18.184030738010705, [1, 3, 5])"
1-2-2.041307009049679; 1-3-14.462005941724488; 2-3-2.889448265750623; 2-4-10.322281241177567; 3-4-14.570358882291627; 3-5-9.647852970828048; 4-5-6.134386428671898,"(14.578608245628349, [1, 2, 3, 5]); (18.497974678899144, [1, 2, 4, 5]); (24.109858912552536, [1, 3, 5]); (25.63550058576383, [1, 2, 3, 4, 5])"
1-2-3.821548652910348; 1-3-12.770960002134835; 2-3-8.482399724867223; 2-4-9.231091466946914; 3-4-2.0068082636618128; 3-5-1.2134150952115046; 4-5-1.1298460032183864,"(13.517363472989075, [1, 2, 3, 5]); (13.984375097346339, [1, 3, 5]); (14.182486123075648, [1, 2, 4, 5]); (15.440602644657769, [1, 2, 3, 4, 5])"
1-2-14.594558156874355; 1-3-6.4989464053713055; 2-3-7.813928369419871; 2-4-5.91821444803155; 3-4-12.974260108949409; 3-5-14.65947655426058; 4-5-11.723005429255842,"(21.158422959631885, [1, 3, 5]); (31.196211943576557, [1, 3, 4, 5]); (32.23577803416175, [1, 2, 4, 5]); (47.10575206449948, [1, 2, 3, 4, 5])"
1-2-5.548127541791908; 1-3-14.030631864456812; 2-3-13.677111383835324; 2-4-13.920429905463399; 3-4-6.834201075183501; 3-5-10.126404010289972; 4-5-6.740395327490982,"(24.157035874746782, [1, 3, 5]); (26.20895277474629, [1, 2, 4, 5]); (32.79983532830171, [1, 2, 3, 4, 5])"
1-2-2.921343518478418; 1-3-4.212503232898892; 2-3-12.978115121761167; 2-4-6.3680193873365525; 3-4-7.350731282734302; 3-5-12.76542757728577; 4-5-4.135930037955662; 4-6-3.907109114282447; 5-6-12.02607739907563; 5-7-1.0827670797541848; 6-7-6.0108112138930405; 6-8-10.007234615532044; 7-8-9.909929503676436; 7-9-12.623123714296218; 8-9-4.433533325504858; 8-10-8.109499372153547; 9-10-1.4833326230163242,"(47.288977008936925, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (49.48161043256928, [1, 2, 4, 5, 6, 7, 8, 10]); (55.33629792405841, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (59.529464911210766, [1, 2, 3, 4, 5, 6, 7, 9, 10]); (61.249804026095845, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10])"
1-2-12.72200524348487; 1-3-14.49382296511902; 2-3-6.866316772155791; 2-4-7.90597830717766; 3-4-10.621785815654636; 3-5-13.724039544525478; 4-5-8.401754362521615; 4-6-9.643929928031941; 5-6-9.494883678752876; 5-7-11.245035131797122; 6-7-13.914402332199511; 6-8-11.593841414133964; 7-8-3.838418385791394; 7-9-4.61684076644132; 8-9-4.784422054643343; 8-10-12.019764989007372; 9-10-11.073771482765231,"(68.12963617334309, [1, 2, 4, 5, 6, 7, 9, 10]); (68.2972072989353, [1, 2, 4, 5, 6, 7, 8, 10]); (68.37055296420507, [1, 3, 4, 6, 7, 8, 9, 10]); (69.55350924881401, [1, 2, 3, 4, 5, 7, 8, 9, 10]); (72.1356358473365, [1, 2, 4, 5, 6, 7, 8, 9, 10])"
1-2-8.848432736961367; 1-3-11.582865705490509; 2-3-9.928339021499427; 2-4-4.908798227506769; 3-4-3.4733503094773157; 3-5-10.469541473211832; 4-5-7.917022774026927; 4-6-4.3609212108803055; 5-6-5.553108533251244; 5-7-14.733102368281958; 6-7-11.892897316996432; 6-8-11.200171603125142; 7-8-13.581558485831131; 7-9-8.612858339915812; 8-9-7.405937014969251; 8-10-7.794048181751773; 9-10-4.537136490396399,"(59.879547263397754, [1, 2, 3, 4, 6, 7, 8, 10]); (60.49586625632564, [1, 2, 4, 5, 6, 7, 8, 10]); (61.9319880979738, [1, 2, 4, 5, 7, 8, 9, 10]); (64.02857258701164, [1, 2, 3, 4, 6, 7, 8, 9, 10]); (64.64489157993953, [1, 2, 4, 5, 6, 7, 8, 9, 10])"
1-2-2.0500908005572938; 1-3-2.7609721040459787; 2-3-12.826491967389842; 2-4-4.55819301232978; 3-4-13.571875806958122; 3-5-11.326376430479202; 4-5-4.247918403796916; 4-6-14.399149070816053; 5-6-2.863194821372562; 5-7-2.9306828227345694; 6-7-1.4372526799375878; 6-8-3.5013347408466053; 7-8-7.418885277060111; 7-9-12.23330612775133; 8-9-2.3351445281820715; 8-10-10.151320149843727; 9-10-5.404980770161713,"(46.80103183926512, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (48.141693597649535, [1, 2, 3, 5, 6, 7, 9, 10]); (49.212226690765064, [1, 2, 3, 4, 5, 6, 8, 10]); (52.15583505541622, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]); (53.197265228340584, [1, 2, 3, 4, 5, 7, 8, 10])"
1-2-5.950216790127267; 1-3-13.329175697471424; 2-3-9.119135698886248; 2-4-12.266826799238714; 3-4-5.218066090686643; 3-5-9.56016115844416; 4-5-1.5620326360202441; 4-6-11.829638745965095; 5-6-10.390815395852332; 5-7-10.915974137251899; 6-7-7.8972098042684955; 6-8-9.886292847466567; 7-8-5.80121628994926; 7-9-10.795201677386915; 8-9-8.480595626884137; 8-10-8.522540836915368; 9-10-7.942647814805843,"(57.01193983058442, [1, 3, 4, 6, 7, 9, 10]); (58.426593614821805, [1, 2, 3, 4, 6, 8, 9, 10]); (58.54980290072928, [1, 2, 3, 4, 5, 6, 8, 9, 10]); (60.2915611571463, [1, 2, 4, 5, 6, 7, 8, 9, 10]); (60.4985500700309, [1, 3, 4, 6, 7, 8, 9, 10])"
