Graph Edges,Paths
1-2-2.1808337336158017; 1-3-3.91648834661383; 2-3-1.9339630646704928; 2-4-6.983975916312759; 3-4-6.23537108135349; 3-5-1.2956451002360485; 4-5-5.825139105924822,"(5.212133446849879, [1, 3, 5]); (5.410441898522342, [1, 2, 3, 5]); (14.989948755853383, [1, 2, 4, 5]); (15.976998533892143, [1, 3, 4, 5]); (16.175306985564607, [1, 2, 3, 4, 5])"
1-2-1.4762856413212275; 1-3-1.7308007500542848; 2-3-1.1084356715168624; 2-4-6.47092567048459; 3-4-5.123262044653979; 3-5-6.017956136532732; 4-5-6.558347664986391,"(7.7487568865870164, [1, 3, 5]); (8.602677449370821, [1, 2, 3, 5]); (13.412410459694655, [1, 3, 4, 5]); (14.26633102247846, [1, 2, 3, 4, 5]); (14.505558976792209, [1, 2, 4, 5])"
1-2-6.2335277467256685; 1-3-3.0726101259352645; 2-3-6.8879184708280805; 2-4-5.292505165497568; 3-4-5.098704069396555; 3-5-5.123596642600491; 4-5-6.184375686619073,"(8.196206768535756, [1, 3, 5]); (14.355689881950891, [1, 3, 4, 5]); (17.71040859884231, [1, 2, 4, 5]); (18.245042860154243, [1, 2, 3, 5]); (24.404525973569378, [1, 2, 3, 4, 5])"
1-2-5.258608730253378; 1-3-4.835107881482715; 2-3-4.345901221137314; 2-4-3.8940513132017154; 3-4-2.2883918528812957; 3-5-5.912178833375631; 4-5-1.9572922444126049,"(9.080791978776615, [1, 3, 4, 5]); (10.747286714858346, [1, 3, 5]); (11.109952287867698, [1, 2, 4, 5]); (13.850194048684592, [1, 2, 3, 4, 5]); (15.516688784766323, [1, 2, 3, 5])"
1-2-6.427711683163789; 1-3-4.658251728534216; 2-3-6.363677656898655; 2-4-5.852072730745263; 3-4-4.831570454008858; 3-5-3.9005294799387964; 4-5-3.860540650753374,"(8.558781208473013, [1, 3, 5]); (13.350362833296447, [1, 3, 4, 5]); (16.140325064662427, [1, 2, 4, 5]); (16.69191882000124, [1, 2, 3, 5]); (21.483500444824678, [1, 2, 3, 4, 5])"
1-2-3.8195443778172207; 1-3-2.2462358837197964; 2-3-6.861057187185989; 2-4-4.211001164351524; 3-4-3.5962338076963034; 3-5-4.667833689821622; 4-5-5.547688294433586,"(6.914069573541418, [1, 3, 5]); (11.390157985849687, [1, 3, 4, 5]); (13.578233836602331, [1, 2, 4, 5]); (15.348435254824832, [1, 2, 3, 5]); (19.8245236671331, [1, 2, 3, 4, 5])"
1-2-3.238752181564654; 1-3-3.4901829073646304; 2-3-6.084908978834912; 2-4-2.540199117240527; 3-4-3.1138029730776466; 3-5-2.224877832075603; 4-5-5.337047864583449,"(5.715060739440233, [1, 3, 5]); (11.11599916338863, [1, 2, 4, 5]); (11.54853899247517, [1, 2, 3, 5]); (11.941033745025727, [1, 3, 4, 5]); (17.774511998060664, [1, 2, 3, 4, 5])"
1-2-1.9570889500877426; 1-3-5.24723284771291; 2-3-3.4417513115623644; 2-4-3.2304227949786126; 3-4-6.1628907342530646; 3-5-3.475893889023139; 4-5-3.231656515247104,"(8.419168260313459, [1, 2, 4, 5]); (8.723126736736049, [1, 3, 5]); (8.874734150673245, [1, 2, 3, 5]); (14.64178009721308, [1, 3, 4, 5]); (14.793387511150277, [1, 2, 3, 4, 5])"
1-2-5.316978949676498; 1-3-3.1616128866917412; 2-3-1.7000579236135118; 2-4-3.4201997480522213; 3-4-2.0125017534024003; 3-5-6.200500211250031; 4-5-6.0195433655610415,"(9.362113097941773, [1, 3, 5]); (11.193658005655184, [1, 3, 4, 5]); (13.21753708454004, [1, 2, 3, 5]); (14.75672206328976, [1, 2, 4, 5]); (15.049081992253452, [1, 2, 3, 4, 5])"
1-2-1.8238925598987674; 1-3-2.3323336129564547; 2-3-6.193352621452921; 2-4-4.515773418094609; 3-4-6.2463140954731164; 3-5-6.605226458304989; 4-5-1.678083906637791,"(8.017749884631167, [1, 2, 4, 5]); (8.937560071261444, [1, 3, 5]); (10.256731615067363, [1, 3, 4, 5]); (14.622471639656677, [1, 2, 3, 5]); (15.941643183462595, [1, 2, 3, 4, 5])"
