Graph Edges,Paths
1-2-11.72966216486273; 1-3-12.345269189302229; 2-3-4.517881899515642; 2-4-8.93999913262034; 3-4-2.550344620416915; 3-5-2.0917358933270602; 4-5-5.487536731399505,"(14.43700508262929, [1, 3, 5]); (18.339279957705436, [1, 2, 3, 5]); (20.38315054111865, [1, 3, 4, 5]); (24.285425416194794, [1, 2, 3, 4, 5])"
1-2-7.030425271397873; 1-3-3.260589671898713; 2-3-10.309383964340197; 2-4-9.239883438387231; 3-4-9.302824384559813; 3-5-12.036550657457106; 4-5-7.340759059038713,"(15.29714032935582, [1, 3, 5]); (19.90417311549724, [1, 3, 4, 5]); (23.61106776882382, [1, 2, 4, 5]); (33.983392679336596, [1, 2, 3, 4, 5])"
1-2-6.540995625458219; 1-3-2.9344514288214425; 2-3-5.306898807309721; 2-4-6.869558296448518; 3-4-10.06521295319958; 3-5-11.257450760090615; 4-5-8.666047086769922,"(14.191902188912056, [1, 3, 5]); (21.665711468790946, [1, 3, 4, 5]); (22.076601008676658, [1, 2, 4, 5]); (30.579154472737443, [1, 2, 3, 4, 5])"
1-2-10.594364640021881; 1-3-10.402773302615856; 2-3-6.172375121339462; 2-4-11.275061214705593; 3-4-13.273469078514262; 3-5-8.883307962890264; 4-5-14.921331220212757,"(19.28608126550612, [1, 3, 5]); (25.650047724251607, [1, 2, 3, 5]); (36.79075707494023, [1, 2, 4, 5]); (44.96154006008836, [1, 2, 3, 4, 5])"
1-2-8.112381627445865; 1-3-2.2428644601009182; 2-3-4.935446145857686; 2-4-2.228275075108898; 3-4-1.6710915816268388; 3-5-9.640637618008375; 4-5-10.139865873600842,"(11.883502078109293, [1, 3, 5]); (14.053821915328598, [1, 3, 4, 5]); (20.480522576155607, [1, 2, 4, 5]); (24.858785228531232, [1, 2, 3, 4, 5])"
1-2-4.04844157879098; 1-3-12.523789560447877; 2-3-8.901280341447336; 2-4-8.560933282949819; 3-4-14.117623351591005; 3-5-6.9071206650997725; 4-5-11.876162646794837,"(19.43091022554765, [1, 3, 5]); (19.85684258533809, [1, 2, 3, 5]); (24.485537508535636, [1, 2, 4, 5]); (38.94350791862416, [1, 2, 3, 4, 5])"
1-2-5.351886127183986; 1-3-1.1037502189550068; 2-3-14.281333552672063; 2-4-8.34377944057001; 3-4-9.228405126200856; 3-5-7.486435414146166; 4-5-12.401928977594201,"(8.590185633101173, [1, 3, 5]); (22.734084322750064, [1, 3, 4, 5]); (26.097594545348198, [1, 2, 4, 5]); (41.263553783651105, [1, 2, 3, 4, 5])"
1-2-12.690320729920522; 1-3-9.955558034785678; 2-3-2.7875526124724233; 2-4-1.4771155925680817; 3-4-12.46692282846659; 3-5-2.4426582125978697; 4-5-6.0296879762010285,"(12.398216247383548, [1, 3, 5]); (17.920531554990816, [1, 2, 3, 5]); (20.19712429868963, [1, 2, 4, 5]); (33.974484147060565, [1, 2, 3, 4, 5])"
1-2-8.076710954548954; 1-3-10.215001650648809; 2-3-7.7764018322409285; 2-4-11.95225082412399; 3-4-13.61027410476445; 3-5-10.421491525061427; 4-5-9.978931583268281,"(20.636493175710235, [1, 3, 5]); (26.27460431185131, [1, 2, 3, 5]); (30.007893361941225, [1, 2, 4, 5]); (39.44231847482261, [1, 2, 3, 4, 5])"
1-2-14.075347731314174; 1-3-4.736348666704282; 2-3-11.638123979760447; 2-4-1.087101937079693; 3-4-1.3993363001247403; 3-5-5.551483810418311; 4-5-10.594833099136153,"(10.287832477122592, [1, 3, 5]); (16.730518065965175, [1, 3, 4, 5]); (25.75728276753002, [1, 2, 4, 5]); (37.707641110335516, [1, 2, 3, 4, 5])"
1-2-5.722412041728112; 1-3-11.497498732147584; 2-3-14.126632732455976; 2-4-5.985464282217155; 3-4-12.530832689981702; 3-5-3.9767587326580367; 4-5-9.722884037899874,"(15.474257464805621, [1, 3, 5]); (21.43076036184514, [1, 2, 4, 5]); (42.10276150206566, [1, 2, 3, 4, 5])"
1-2-13.819484519232246; 1-3-9.617697255359083; 2-3-3.264430822241089; 2-4-5.5957276792830175; 3-4-2.590790087382408; 3-5-12.087395848542101; 4-5-6.7901774009879805,"(18.99866474372947, [1, 3, 4, 5]); (21.705093103901184, [1, 3, 5]); (26.205389599503242, [1, 2, 4, 5]); (26.464882829843724, [1, 2, 3, 4, 5])"
1-2-14.189989190576213; 1-3-14.449949051481592; 2-3-12.730022093300944; 2-4-4.035739485560324; 3-4-11.84725454038554; 3-5-1.445164145922567; 4-5-8.35922994129129,"(15.895113197404159, [1, 3, 5]); (26.584958617427827, [1, 2, 4, 5]); (47.12649576555399, [1, 2, 3, 4, 5])"
1-2-2.012959156270532; 1-3-11.03287999931946; 2-3-6.127777027104574; 2-4-13.652492999242565; 3-4-8.440716511974873; 3-5-8.13593710219977; 4-5-2.9153378068388256,"(16.276673285574876, [1, 2, 3, 5]); (18.580789962351922, [1, 2, 4, 5]); (19.16881710151923, [1, 3, 5]); (19.496790502188805, [1, 2, 3, 4, 5])"
1-2-4.7591235318306335; 1-3-4.3444562532772455; 2-3-8.773861640889901; 2-4-7.253341159941308; 3-4-10.884260873054922; 3-5-4.828829484822862; 4-5-1.8295867631662084,"(9.173285738100107, [1, 3, 5]); (13.84205145493815, [1, 2, 4, 5]); (26.246832808941665, [1, 2, 3, 4, 5])"
1-2-2.920637976083502; 1-3-10.013563214429533; 2-3-10.066135148949837; 2-4-2.122438390540527; 3-4-12.72853147797826; 3-5-2.3502319502171813; 4-5-9.243583500159787,"(12.363795164646714, [1, 3, 5]); (14.286659866783815, [1, 2, 4, 5]); (34.95888810317138, [1, 2, 3, 4, 5])"
1-2-8.600657203252705; 1-3-9.330721045769707; 2-3-8.083632788046208; 2-4-11.29848354215707; 3-4-1.7270922038189123; 3-5-7.818468015827692; 4-5-12.83668793863507,"(17.149189061597397, [1, 3, 5]); (23.89450118822369, [1, 3, 4, 5]); (24.5027580071266, [1, 2, 3, 5]); (31.248070133752893, [1, 2, 3, 4, 5])"
1-2-8.093619629005207; 1-3-11.81891779216836; 2-3-4.11836178617237; 2-4-8.21681687076411; 3-4-5.9705029864797305; 3-5-13.037519948765116; 4-5-7.6651845094193565,"(23.97562100918867, [1, 2, 4, 5]); (24.856437740933476, [1, 3, 5]); (25.847668911076667, [1, 2, 3, 4, 5])"
1-2-4.9277249193788055; 1-3-10.35081355598447; 2-3-2.996072780561481; 2-4-8.721266760395421; 3-4-13.183537988001607; 3-5-1.709139256092829; 4-5-6.552487928234591,"(9.632936956033115, [1, 2, 3, 5]); (12.059952812077299, [1, 3, 5]); (20.201479608008817, [1, 2, 4, 5]); (27.659823616176485, [1, 2, 3, 4, 5])"
1-2-7.6755345936345565; 1-3-11.468198124465207; 2-3-8.1730852456799; 2-4-5.828461855997086; 3-4-4.01584700108008; 3-5-8.828597121808894; 4-5-10.40153218156357,"(20.2967952462741, [1, 3, 5]); (23.905528631195214, [1, 2, 4, 5]); (30.265999021958105, [1, 2, 3, 4, 5])"
