Graph Edges,Paths
1-2-1.4338497975467748; 1-3-3.2959974966312857; 2-3-13.82588220130068; 2-4-13.57000646725025; 3-4-3.3672008146724863; 3-5-9.055757216901979; 4-5-5.630555938156433,"(12.293754249460203, [1, 3, 4, 5]); (12.351754713533264, [1, 3, 5]); (20.63441220295346, [1, 2, 4, 5]); (24.257488751676373, [1, 2, 3, 4, 5]); (24.31548921574943, [1, 2, 3, 5])"
1-2-1.0371361728922726; 1-3-13.271120166114379; 2-3-13.651073491409369; 2-4-2.924551980921665; 3-4-3.7019356674005; 3-5-8.776817792834304; 4-5-4.762837285648038,"(8.724525439461974, [1, 2, 4, 5]); (21.735893119162917, [1, 3, 4, 5]); (22.047937958948683, [1, 3, 5]); (23.152982617350183, [1, 2, 3, 4, 5]); (23.465027457135946, [1, 2, 3, 5])"
1-2-9.510447977276252; 1-3-4.05990245544841; 2-3-6.792470239288518; 2-4-13.87419045955578; 3-4-5.1325087030994485; 3-5-7.416743748255513; 4-5-4.253416406351527,"(11.476646203703922, [1, 3, 5]); (13.445827564899385, [1, 3, 4, 5]); (23.719661964820283, [1, 2, 3, 5]); (25.688843326015743, [1, 2, 3, 4, 5]); (27.63805484318356, [1, 2, 4, 5])"
1-2-6.563391479652689; 1-3-4.392213949886727; 2-3-6.899437414730018; 2-4-12.193053103751774; 3-4-6.041657984090308; 3-5-8.082853734531518; 4-5-3.916825202963821,"(12.475067684418246, [1, 3, 5]); (14.350697136940855, [1, 3, 4, 5]); (21.545682628914225, [1, 2, 3, 5]); (22.673269786368284, [1, 2, 4, 5]); (23.421312081436835, [1, 2, 3, 4, 5])"
1-2-2.128668995888746; 1-3-12.239690250290883; 2-3-5.13454420492042; 2-4-10.853164264729944; 3-4-14.338669223839068; 3-5-2.605465629817889; 4-5-11.51514113691648,"(9.868678830627054, [1, 2, 3, 5]); (14.845155880108772, [1, 3, 5]); (24.49697439753517, [1, 2, 4, 5]); (33.117023561564714, [1, 2, 3, 4, 5]); (38.09350061104643, [1, 3, 4, 5])"
1-2-1.9514014643487865; 1-3-1.8100354952177764; 2-3-5.812100007020616; 2-4-2.436236700672677; 3-4-5.766153290173903; 3-5-1.7055371936140356; 4-5-2.5049160636084933,"(3.5155726888318117, [1, 3, 5]); (6.892554228629956, [1, 2, 4, 5]); (9.469038664983438, [1, 2, 3, 5]); (10.081104849000173, [1, 3, 4, 5]); (16.0345708251518, [1, 2, 3, 4, 5])"
1-2-14.243100016186999; 1-3-3.127995006863139; 2-3-9.843166958872434; 2-4-1.8486382049140113; 3-4-1.6399177078329337; 3-5-1.0469550343997618; 4-5-7.091841853009879,"(4.174950041262901, [1, 3, 5]); (11.859754567705952, [1, 3, 4, 5]); (23.18358007411089, [1, 2, 4, 5]); (25.133222009459192, [1, 2, 3, 5]); (32.81802653590224, [1, 2, 3, 4, 5])"
1-2-9.249875440331522; 1-3-14.262787509273155; 2-3-10.365600862019477; 2-4-6.570270492620971; 3-4-9.371678209838564; 3-5-9.055263527238457; 4-5-9.07819286831987,"(23.318051036511612, [1, 3, 5]); (24.898338801272363, [1, 2, 4, 5]); (28.670739829589458, [1, 2, 3, 5]); (32.71265858743159, [1, 3, 4, 5]); (38.06534738050944, [1, 2, 3, 4, 5])"
1-2-3.9795571959594644; 1-3-11.09831794508059; 2-3-6.292742954911809; 2-4-8.579395638401504; 3-4-4.977044099354756; 3-5-1.8342027576009714; 4-5-6.956096209348884,"(12.106502908472246, [1, 2, 3, 5]); (12.932520702681561, [1, 3, 5]); (19.51504904370985, [1, 2, 4, 5]); (22.205440459574916, [1, 2, 3, 4, 5]); (23.03145825378423, [1, 3, 4, 5])"
1-2-10.257745555059202; 1-3-14.721622820531673; 2-3-4.7278847140091464; 2-4-2.982629043639747; 3-4-1.8676109039634368; 3-5-7.3085377503253985; 4-5-13.911458028325628,"(22.03016057085707, [1, 3, 5]); (22.294168019393748, [1, 2, 3, 5]); (27.151832627024575, [1, 2, 4, 5]); (30.500691752820735, [1, 3, 4, 5]); (30.764699201357416, [1, 2, 3, 4, 5])"
